XB,FWMJ,CZMJ,YZJ,FWMJ.1,FWZJ,SFAJ,Age,RentType,BuyerAge,MonthlyRentUnitArea,In_Province,In_City,Label
0,153.62,153.62,3800.0,136.13,3260000.0,0.0,43,1.0,39,24.736362452805626,0,0,0
0,75.93,75.93,2666.6666666666665,94.55,1700661.0,1.0,36,1.0,34,35.12006672812678,1,0,0
1,81.68,18.0,1100.0,109.66,1411142.0,1.0,41,0.0,38,61.11111111111112,1,0,0
0,86.49,10.96,1323.0,75.85,271500.0,1.0,34,0.0,33,120.71167883211676,1,0,0
1,56.08,56.08,1400.0,83.55,1092115.0,1.0,33,1.0,29,24.96433666191156,1,0,0
1,84.81,84.81,1875.0,65.38,342376.0,1.0,42,1.0,40,22.10824195259993,1,0,0
1,62.48,62.48,1500.0,121.71,1534898.0,1.0,28,1.0,26,24.00768245838669,0,0,0
1,85.01,85.01,1800.0,112.8,900038.0,1.0,31,1.0,27,21.173979531819786,1,0,0
1,65.87,65.87,2550.0,92.09,1039880.0,1.0,32,1.0,29,38.71261575831183,1,1,0
1,127.13,27.0,500.0,102.09,1096079.54,1.0,35,0.0,34,18.51851851851852,1,0,0
0,75.205,75.205,1016.5,143.47,1269159.0,1.0,39,1.0,36,13.49238190230484,1,0,0
1,67.12,67.12,1200.0,94.08,453821.0,0.0,38,1.0,34,17.878426698450536,1,1,0
0,102.03,22.0,300.0,108.7,501343.0,1.0,51,0.0,49,13.636363636363637,1,1,0
1,104.52,30.0,600.0,103.57,450000.0,0.0,49,0.0,45,20.0,0,0,0
0,85.83,85.83,1000.0,101.54,1140000.0,1.0,31,1.0,29,11.65093790050099,1,0,0
1,71.03,61.02,1127.6666666666667,108.8,1170906.0,1.0,33,0.6666666666666666,29,19.598439454759184,1,0,0
0,110.83,9.1,990.0,117.63,1157380.0,1.0,38,0.0,37,108.7912087912088,1,1,0
0,122.87,40.87,1000.0,84.86,299900.0,1.0,53,0.0,48,24.46782481037436,1,1,0
1,77.41,77.41,1200.0,96.28,935651.0,1.0,30,1.0,25,15.50187314300478,0,0,0
0,59.94,15.0,500.0,75.81,720000.0,1.0,34,0.0,30,33.333333333333336,1,0,0
0,117.31,117.31,18000.0,100.68,1040000.0,1.0,28,1.0,26,153.43960446679736,1,0,0
0,69.2,69.2,2700.0,88.19,1300000.0,0.0,36,1.0,34,39.017341040462426,1,0,0
1,125.28,8.2,1145.0,114.68,993445.0,1.0,24,0.0,22,139.63414634146343,1,0,0
1,84.68,84.68,1000.0,84.68,800000.0,0.0,29,1.0,25,11.809163911195087,1,0,0
1,87.96,8.2,1209.0,90.48,700000.0,0.0,28,0.0,27,147.4390243902439,1,0,0
1,89.82,89.82,750.0,133.57,1763726.0,1.0,28,1.0,26,8.3500334001336,1,0,0
1,72.31,49.325,1000.0,107.02,2449474.0,1.0,34,0.5,29,20.51276719620727,1,0,0
1,89.45,89.45,1500.0,88.88,666858.0,1.0,32,1.0,29,16.769144773616546,1,0,0
1,84.84,10.0,300.0,107.93,2491780.06,1.0,47,0.0,45,30.0,1,0,0
0,89.2,89.2,1000.0,71.4,605448.0,1.0,39,1.0,36,11.210762331838565,1,0,0
0,59.71,59.71,2000.0,85.03,1360000.0,1.0,32,1.0,30,33.49522693016245,1,0,0
0,28.73,28.73,1000.0,108.05,1191980.0,1.0,36,1.0,31,34.80682213713888,1,1,0
0,43.99,43.99,2500.0,110.26,462495.0,1.0,36,1.0,35,56.83109797681291,1,0,0
0,67.215,67.215,1300.0,72.39,925000.0,1.0,31,1.0,29,19.253862798950017,1,0,0
0,66.22,20.0,350.0,58.84,960000.0,1.0,33,0.0,29,17.5,1,0,0
0,75.32,75.32,600.0,173.16,4042750.0,1.0,30,1.0,25,7.966011683483803,1,0,0
0,61.1,61.1,2000.0,86.71,1850000.0,1.0,38,1.0,35,32.733224222585925,1,0,0
1,72.1,72.1,1500.0,69.33,468916.0,1.0,36,1.0,34,20.80443828016644,1,0,0
1,85.15,84.955,3590.0,74.76,461985.0,1.0,33,0.5,30,42.33425937093213,1,1,0
0,78.66,78.66,2200.0,156.51,2344081.0,0.0,41,1.0,40,27.96847190439868,0,0,0
1,125.15,125.15,2000.0,101.19,1942635.0,1.0,42,1.0,38,15.980823012385136,0,0,0
1,59.2,59.2,2800.0,86.58,2000000.0,1.0,26,1.0,23,47.2972972972973,0,0,0
0,115.27,75.27,1200.0,127.68,780000.0,1.0,33,0.0,29,15.942606616181749,1,0,0
1,68.08,68.08,1250.0,107.02,675771.0,1.0,34,1.0,31,18.36075205640423,1,0,0
0,82.79,82.79,1200.0,98.87,1028178.0,1.0,27,1.0,22,14.494504167169946,1,0,0
0,83.94,50.0,600.0,133.45,1106834.0,1.0,29,0.0,28,12.0,1,0,0
0,142.05,10.1,990.0,50.96,1158888.0,1.0,29,0.0,27,98.01980198019804,1,0,0
1,67.76,67.76,1500.0,78.47,424388.0,1.0,34,1.0,32,22.136953955135773,1,0,0
0,83.36,83.36,1500.0,84.63,483660.0,1.0,55,1.0,51,17.994241842610364,1,0,0
0,138.15,138.15,1100.0,99.19,586022.0,1.0,33,1.0,29,7.962359753890698,1,0,0
1,139.05,139.05,100.0,95.98,1544817.0,1.0,29,1.0,25,0.719165767709457,1,0,0
0,60.97,60.97,550.0,52.33,120000.0,0.0,50,1.0,47,9.020829916352303,1,1,0
